Date,Territory,Pair,Pre post trt,Fertilized,Territory width,Territory length,Territory horizontal area,Territory height,Surface area,Total Fish,Size class count,Fish size,Turf height 1,Turf height 2,Turf height 3,Turf height 4,Turf height 5
13-Jul,16,I,Post-fertilization,Y,170,116,1.972,38,7.199985104,5,3,12,0.1,0.6,0.2,0.3,0.3
13-Jul,16,I,Post-fertilization,Y,170,116,1.972,38,7.199985104,5,1,8,0.1,0.6,0.2,0.3,0.3
13-Jul,16,I,Post-fertilization,Y,170,116,1.972,38,7.199985104,5,1,6,0.1,0.6,0.2,0.3,0.3
14-Jul,17,I,Post-fertilization,N,110,44,0.484,51,2.753250835,1,1,14,1.4,0.3,0.4,0.3,0.3
14-Jul,18,J,Post-fertilization,N,160,54,0.864,71,5.225061934,2,2,14,0.3,0.4,0.4,0.4,0.4
7-Jul,19,J,Post-fertilization,Y,100,66,0.66,34,2.715735826,3,3,14,0.4,1.8,0.4,0.6,0.2
14-Jul,20,K,Post-fertilization,N,200,95,1.9,64,8.34934847,4,4,14,0.3,1.2,0.3,0.3,1.2
14-Jul,21,K,Post-fertilization,Y,121,97,1.1737,49,4.921588177,2,2,14,0.4,0.6,0.4,1.3,0.6
14-Jul,22,L,Post-fertilization,N,125,80,1,54,4.556797639,2,2,12,0.4,1.6,1.4,0.6,0.4
14-Jul,23,L,Post-fertilization,Y,240,110,2.64,55,10.41435169,9,3,15,0.3,0.3,0.4,1,0.3
14-Jul,23,L,Post-fertilization,Y,240,110,2.64,55,10.41435169,9,3,12,0.3,0.3,0.4,1,0.3
14-Jul,23,L,Post-fertilization,Y,240,110,2.64,55,10.41435169,9,1,10,0.3,0.3,0.4,1,0.3
14-Jul,23,L,Post-fertilization,Y,240,110,2.64,55,10.41435169,9,1,6,0.3,0.3,0.4,1,0.3
14-Jul,23,L,Post-fertilization,Y,240,110,2.64,55,10.41435169,9,1,8,0.3,0.3,0.4,1,0.3
14-Jul,24,M,Post-fertilization,N,112,65,0.728,50,3.474686346,6,3,14,0.4,0.3,0.4,0.7,0.3
14-Jul,24,M,Post-fertilization,N,112,65,0.728,50,3.474686346,6,1,5,0.4,0.3,0.4,0.7,0.3
14-Jul,24,M,Post-fertilization,N,112,65,0.728,50,3.474686346,6,1,8,0.4,0.3,0.4,0.7,0.3
14-Jul,24,M,Post-fertilization,N,112,65,0.728,50,3.474686346,6,1,6,0.4,0.3,0.4,0.7,0.3
14-Jul,25,M,Post-fertilization,Y,85,106,0.901,51,4.044656538,2,2,14,0.2,0.2,0.4,0.6,0.2
14-Jul,26,N,Post-fertilization,N,105,75,0.7875,65,4.144778575,2,1,12,0.5,0.5,0.6,0.5,0.5
14-Jul,26,N,Post-fertilization,N,105,75,0.7875,65,4.144778575,2,1,10,0.5,0.5,0.6,0.5,0.5
14-Jul,27,N,Post-fertilization,Y,70,76,0.532,33,2.224307125,4,1,10,0.2,0.2,0.3,0.2,0.2
14-Jul,27,N,Post-fertilization,Y,70,76,0.532,33,2.224307125,4,1,6,0.2,0.2,0.3,0.2,0.2
14-Jul,27,N,Post-fertilization,Y,70,76,0.532,33,2.224307125,4,1,5,0.2,0.2,0.3,0.2,0.2
14-Jul,27,N,Post-fertilization,Y,70,76,0.532,33,2.224307125,4,1,11,0.2,0.2,0.3,0.2,0.2
