Date,Territory,Pair,Pre post trt,Fertilized,Territory width,Territory length,Territory horizontal area,Territory height,Surface area,Fish no,Fish ID,Video view time,Time guarding,Prop guarding,Bites,Bite rate,Intra chases,Intra chase rate,Inter chases,Inter chase rate,Other fish bites
15-Jun,16,I,Pre-fertilization,Y,172,116,1.9952,38,7.278588078,2,16-2,1222,760,0.62193126,44,3.473684211,2,0.157894737,1,0.078947368,2
15-Jun,17,I,Pre-fertilization,N,140,110,1.54,51,6.250852028,1,17-1,931,786,0.844253491,19,1.450381679,10,0.763358779,2,0.152671756,0
15-Jun,17,I,Pre-fertilization,N,140,110,1.54,51,6.250852028,2,17-2,931,879,0.94414608,16,1.092150171,6,0.409556314,5,0.341296928,0
15-Jun,17,I,Pre-fertilization,N,140,110,1.54,51,6.250852028,3,17-3,931,728,0.781954887,25,2.06043956,4,0.32967033,6,0.494505495,4
16-Jun,18,J,Pre-fertilization,N,161,42,0.6762,71,4.750108688,1,18-1,1805,1304,0.722437673,79,3.634969325,3,0.13803681,8,0.36809816,1
16-Jun,18,J,Pre-fertilization,N,161,42,0.6762,71,4.750108688,2,18-2,1805,1668,0.924099723,54,1.942446043,5,0.179856115,12,0.431654676,0
16-Jun,19,J,Pre-fertilization,Y,131,100,1.31,34,4.865283632,1,19-1,1378,1057,0.767053701,21,1.19205298,0,0,8,0.454115421,2
16-Jun,20,K,Pre-fertilization,N,195,98,1.911,64,8.338298017,1,20-1,529,393,0.742911153,5,0.763358779,1,0.152671756,1,0.152671756,0
16-Jun,20,K,Pre-fertilization,N,195,98,1.911,64,8.338298017,2,20-2,529,427,0.807183365,4,0.56206089,6,0.843091335,2,0.281030445,2
16-Jun,20,K,Pre-fertilization,N,195,98,1.911,64,8.338298017,3,20-3,529,442,0.835538752,1,0.135746606,1,0.135746606,2,0.271493213,0
16-Jun,21,K,Pre-fertilization,Y,151,97,1.4647,49,5.968669304,1,21-1,1320,1192,0.903030303,20,1.006711409,9,0.453020134,5,0.251677852,31
16-Jun,22,L,Pre-fertilization,N,105,80,0.84,54,3.938752525,1,22-1,1171,657,0.561058924,18,1.643835616,6,0.547945206,4,0.365296804,0
16-Jun,22,L,Pre-fertilization,N,105,80,0.84,54,3.938752525,2,22-2,1171,842,0.719043553,21,1.496437055,1,0.071258907,4,0.28503563,0
16-Jun,23,L,Pre-fertilization,Y,240,110,2.64,55,10.41435169,1,23-1,1548,1007,0.650516796,27,1.608738828,12,0.714995035,7,0.417080437,0
16-Jun,23,L,Pre-fertilization,Y,240,110,2.64,55,10.41435169,2,23-2,1548,890,0.574935401,25,1.685393258,17,1.146067416,6,0.404494382,0
17-Jun,24,M,Pre-fertilization,N,110,77,0.847,50,3.846275501,1,24-1,1326,1307,0.985671192,52,2.387146136,7,0.321346595,8,0.367253252,0
17-Jun,24,M,Pre-fertilization,N,110,77,0.847,50,3.846275501,2,24-2,1326,1312,0.989441931,59,2.698170732,6,0.274390244,2,0.091463415,0
17-Jun,25,M,Pre-fertilization,Y,102,103,1.0506,51,4.551001034,1,25-1,1165,1152,0.988841202,64,3.333333333,0,0,7,0.364583333,0
17-Jun,25,M,Pre-fertilization,Y,102,103,1.0506,51,4.551001034,2,25-2,1165,991,0.850643777,77,4.661957619,3,0.181634712,7,0.423814329,0
17-Jun,26,N,Pre-fertilization,N,110,78,0.858,65,4.413110551,1,26-1,1404,507,0.361111111,14,1.656804734,7,0.828402367,1,0.118343195,10
17-Jun,26,N,Pre-fertilization,N,110,78,0.858,65,4.413110551,1,26-1,1404,645,0.459401709,22,2.046511628,3,0.279069767,6,0.558139535,12
17-Jun,27,N,Pre-fertilization,Y,120,108,1.296,33,4.774228218,1,27-1,1196,896,0.74916388,78,5.223214286,5,0.334821429,10,0.669642857,5
17-Jun,27,N,Pre-fertilization,Y,120,108,1.296,33,4.774228218,2,27-2,1196,876,0.732441472,39,2.671232877,6,0.410958904,1,0.068493151,0
